# t qw qx qy qz x y z vx vy vz p q r ax ay az
0.014 0.811121 -0.00890252 0.0114859 0.584697 2.81817 27.5503 13.024 13.0157 -0.879101 0.0118833 -0.0085187 0.0172392 0.211815 -0.788857 1.15658 -0.0044584 
0.015 0.811059 -0.0089098 0.0114914 0.584783 2.83118 27.5495 13.024 13.0144 -0.87948 0.0119005 -0.00853478 0.017272 0.212215 -0.781086 1.15675 -0.00432699 
0.016 0.810997 -0.0089171 0.0114968 0.584869 2.8442 27.5486 13.024 13.0131 -0.879851 0.0119177 -0.00855084 0.0173048 0.212615 -0.77331 1.15691 -0.00419533 
0.017 0.810935 -0.00892441 0.0115023 0.584956 2.85721 27.5477 13.024 13.0117 -0.880216 0.0119348 -0.00856686 0.0173375 0.213013 -0.765529 1.15707 -0.0040634 
0.018 0.810872 -0.00893174 0.0115078 0.585042 2.87022 27.5468 13.024 13.0104 -0.880574 0.0119518 -0.00858285 0.0173701 0.213411 -0.757744 1.15723 -0.00393121 
0.019 0.810809 -0.00893908 0.0115132 0.585129 2.88323 27.5459 13.024 13.009 -0.880924 0.0119687 -0.0085988 0.0174027 0.213807 -0.749954 1.15739 -0.00379877 
0.02 0.810747 -0.00894643 0.0115188 0.585215 2.89624 27.5451 13.0241 13.0077 -0.881268 0.0119855 -0.00861472 0.0174353 0.214203 -0.742159 1.15755 -0.00366607 
0.021 0.810684 -0.0089538 0.0115243 0.585302 2.90925 27.5442 13.0241 13.0064 -0.881604 0.0120022 -0.0086306 0.0174678 0.214598 -0.73436 1.1577 -0.00353311 
0.022 0.810621 -0.00896118 0.0115298 0.585389 2.92225 27.5433 13.0241 13.005 -0.881933 0.0120189 -0.00864646 0.0175003 0.214993 -0.726556 1.15786 -0.00339989 
0.023 0.810558 -0.00896857 0.0115353 0.585476 2.93526 27.5424 13.0241 13.0037 -0.882254 0.0120355 -0.00866227 0.0175327 0.215386 -0.718748 1.15801 -0.00326642 
0.024 0.810494 -0.00897598 0.0115409 0.585564 2.94826 27.5415 13.0241 13.0024 -0.882569 0.0120519 -0.00867806 0.017565 0.215779 -0.710936 1.15817 -0.00313269 
0.025 0.810431 -0.0089834 0.0115464 0.585651 2.96126 27.5406 13.0241 13.0011 -0.882876 0.0120683 -0.00869381 0.0175973 0.216171 -0.703119 1.15832 -0.0029987 
0.026 0.810368 -0.00899084 0.011552 0.585739 2.97426 27.5398 13.0241 12.9998 -0.883177 0.0120847 -0.00870952 0.0176296 0.216561 -0.695299 1.15847 -0.00286446 
0.027 0.810304 -0.00899829 0.0115575 0.585827 2.98726 27.5389 13.0241 12.9984 -0.88347 0.0121009 -0.00872521 0.0176618 0.216952 -0.687473 1.15863 -0.00272996 
0.028 0.81024 -0.00900575 0.0115631 0.585915 3.00026 27.538 13.0242 12.9971 -0.883756 0.012117 -0.00874085 0.0176939 0.217341 -0.679644 1.15878 -0.00259521 
0.029 0.810176 -0.00901322 0.0115687 0.586003 3.01325 27.5371 13.0242 12.9958 -0.884034 0.0121331 -0.00875647 0.017726 0.217729 -0.671811 1.15892 -0.0024602 
0.03 0.810112 -0.00902071 0.0115743 0.586091 3.02625 27.5362 13.0242 12.9945 -0.884306 0.0121491 -0.00877205 0.0177581 0.218117 -0.663973 1.15907 -0.00232494 
0.031 0.810048 -0.00902821 0.0115799 0.586179 3.03924 27.5353 13.0242 12.9932 -0.88457 0.012165 -0.0087876 0.0177901 0.218504 -0.656132 1.15922 -0.00218942 
0.032 0.809984 -0.00903573 0.0115855 0.586268 3.05224 27.5345 13.0242 12.9919 -0.884827 0.0121808 -0.00880311 0.017822 0.21889 -0.648286 1.15937 -0.00205366 
0.033 0.80992 -0.00904325 0.0115912 0.586357 3.06523 27.5336 13.0242 12.9906 -0.885077 0.0121965 -0.00881859 0.0178539 0.219275 -0.640437 1.15951 -0.00191763 
0.034 0.809855 -0.0090508 0.0115968 0.586446 3.07822 27.5327 13.0242 12.9893 -0.885319 0.0122121 -0.00883404 0.0178858 0.219659 -0.632584 1.15965 -0.00178136 
0.035 0.80979 -0.00905835 0.0116025 0.586535 3.09121 27.5318 13.0242 12.988 -0.885555 0.0122277 -0.00884945 0.0179175 0.220042 -0.624727 1.1598 -0.00164483 
0.036 0.809726 -0.00906592 0.0116081 0.586624 3.10419 27.5309 13.0242 12.9867 -0.885783 0.0122431 -0.00886483 0.0179493 0.220425 -0.616866 1.15994 -0.00150806 
0.037 0.809661 -0.0090735 0.0116138 0.586713 3.11718 27.53 13.0243 12.9854 -0.886004 0.0122585 -0.00888017 0.017981 0.220807 -0.609001 1.16008 -0.00137103 
0.038 0.809596 -0.00908109 0.0116195 0.586802 3.13016 27.5291 13.0243 12.9841 -0.886217 0.0122738 -0.00889548 0.0180126 0.221187 -0.601133 1.16021 -0.00123375 
0.039 0.809531 -0.0090887 0.0116252 0.586892 3.14315 27.5283 13.0243 12.9828 -0.886424 0.012289 -0.00891076 0.0180442 0.221568 -0.593261 1.16035 -0.00109622 
0.04 0.809466 -0.00909632 0.0116309 0.586982 3.15613 27.5274 13.0243 12.9815 -0.886623 0.0123041 -0.008926 0.0180758 0.221947 -0.585386 1.16049 -0.000958443 
0.041 0.8094 -0.00910396 0.0116366 0.587072 3.16911 27.5265 13.0243 12.9803 -0.886815 0.0123191 -0.00894121 0.0181072 0.222325 -0.577507 1.16062 -0.000820415 
0.042 0.809335 -0.0091116 0.0116423 0.587162 3.18209 27.5256 13.0243 12.979 -0.887 0.0123341 -0.00895639 0.0181387 0.222703 -0.569624 1.16075 -0.000682139 
0.043 0.809269 -0.00911926 0.011648 0.587252 3.19507 27.5247 13.0243 12.9777 -0.887177 0.0123489 -0.00897153 0.0181701 0.223079 -0.561738 1.16089 -0.000543615 
0.044 0.809203 -0.00912693 0.0116538 0.587342 3.20804 27.5238 13.0243 12.9764 -0.887347 0.0123637 -0.00898664 0.0182014 0.223455 -0.553849 1.16102 -0.000404843 
0.045 0.809138 -0.00913462 0.0116595 0.587432 3.22102 27.5229 13.0244 12.9751 -0.88751 0.0123784 -0.00900171 0.0182327 0.22383 -0.545957 1.16115 -0.000265824 
0.046 0.809072 -0.00914232 0.0116653 0.587523 3.234 27.522 13.0244 12.9739 -0.887666 0.012393 -0.00901675 0.0182639 0.224205 -0.538061 1.16127 -0.000126559 
0.047 0.809006 -0.00915003 0.011671 0.587614 3.24697 27.5212 13.0244 12.9726 -0.887814 0.0124075 -0.00903176 0.0182951 0.224578 -0.530162 1.1614 1.29531e-05 
0.048 0.808939 -0.00915775 0.0116768 0.587705 3.25994 27.5203 13.0244 12.9713 -0.887956 0.0124219 -0.00904673 0.0183262 0.22495 -0.52226 1.16152 0.00015271 
0.049 0.808873 -0.00916549 0.0116826 0.587796 3.27291 27.5194 13.0244 12.9701 -0.888089 0.0124362 -0.00906167 0.0183573 0.225322 -0.514355 1.16165 0.000292713 
0.05 0.808807 -0.00917324 0.0116884 0.587887 3.28588 27.5185 13.0244 12.9688 -0.888216 0.0124505 -0.00907658 0.0183884 0.225693 -0.506446 1.16177 0.00043296 
0.051 0.80874 -0.00918101 0.0116942 0.587978 3.29885 27.5176 13.0244 12.9675 -0.888335 0.0124646 -0.00909145 0.0184193 0.226063 -0.498535 1.16189 0.000573451 
0.052 0.808673 -0.00918878 0.0117 0.58807 3.31182 27.5167 13.0244 12.9663 -0.888447 0.0124787 -0.00910629 0.0184503 0.226432 -0.490621 1.16201 0.000714185 
0.053 0.808607 -0.00919657 0.0117059 0.588161 3.32478 27.5158 13.0245 12.965 -0.888552 0.0124927 -0.00912109 0.0184811 0.226801 -0.482703 1.16212 0.000855162 
0.054 0.80854 -0.00920437 0.0117117 0.588253 3.33775 27.5149 13.0245 12.9638 -0.88865 0.0125066 -0.00913586 0.018512 0.227168 -0.474783 1.16224 0.000996382 
0.055 0.808473 -0.00921219 0.0117176 0.588345 3.35071 27.5141 13.0245 12.9625 -0.88874 0.0125204 -0.0091506 0.0185427 0.227535 -0.46686 1.16235 0.00113784 
0.056 0.808406 -0.00922001 0.0117234 0.588437 3.36367 27.5132 13.0245 12.9613 -0.888823 0.0125341 -0.00916531 0.0185735 0.227901 -0.458935 1.16247 0.00127955 
0.057 0.808338 -0.00922785 0.0117293 0.588529 3.37663 27.5123 13.0245 12.96 -0.888898 0.0125477 -0.00917998 0.0186041 0.228266 -0.451006 1.16258 0.00142149 
0.058 0.808271 -0.00923571 0.0117352 0.588621 3.38959 27.5114 13.0245 12.9588 -0.888967 0.0125612 -0.00919461 0.0186348 0.22863 -0.443075 1.16269 0.00156367 
0.059 0.808203 -0.00924357 0.011741 0.588714 3.40255 27.5105 13.0245 12.9576 -0.889028 0.0125747 -0.00920921 0.0186653 0.228993 -0.435142 1.16279 0.0017061 
0.06 0.808136 -0.00925145 0.0117469 0.588806 3.41551 27.5096 13.0245 12.9563 -0.889081 0.012588 -0.00922378 0.0186959 0.229356 -0.427205 1.1629 0.00184876 
0.061 0.808068 -0.00925934 0.0117528 0.588899 3.42846 27.5087 13.0246 12.9551 -0.889128 0.0126013 -0.00923832 0.0187263 0.229717 -0.419267 1.163 0.00199166 
0.062 0.808 -0.00926724 0.0117588 0.588992 3.44142 27.5078 13.0246 12.9538 -0.889167 0.0126145 -0.00925282 0.0187568 0.230078 -0.411325 1.16311 0.0021348 
0.063 0.807932 -0.00927516 0.0117647 0.589085 3.45437 27.5069 13.0246 12.9526 -0.889199 0.0126276 -0.00926729 0.0187871 0.230438 -0.403382 1.16321 0.00227817 
0.064 0.807864 -0.00928308 0.0117706 0.589178 3.46732 27.5061 13.0246 12.9514 -0.889223 0.0126406 -0.00928172 0.0188174 0.230797 -0.395436 1.1633 0.00242178 
0.065 0.807796 -0.00929103 0.0117766 0.589271 3.48027 27.5052 13.0246 12.9502 -0.88924 0.0126535 -0.00929612 0.0188477 0.231156 -0.387488 1.1634 0.00256563 
0.066 0.807728 -0.00929898 0.0117825 0.589365 3.49322 27.5043 13.0246 12.9489 -0.88925 0.0126663 -0.00931049 0.0188779 0.231513 -0.379537 1.1635 0.00270972 
0.067 0.807659 -0.00930694 0.0117885 0.589458 3.50617 27.5034 13.0246 12.9477 -0.889253 0.012679 -0.00932482 0.0189081 0.23187 -0.371584 1.16359 0.00285403 
0.068 0.807591 -0.00931492 0.0117944 0.589552 3.51912 27.5025 13.0246 12.9465 -0.889248 0.0126916 -0.00933912 0.0189382 0.232226 -0.363629 1.16368 0.00299859 
0.069 0.807522 -0.00932291 0.0118004 0.589646 3.53206 27.5016 13.0247 12.9453 -0.889236 0.0127042 -0.00935339 0.0189683 0.232581 -0.355672 1.16377 0.00314337 
0.07 0.807453 -0.00933091 0.0118064 0.58974 3.54501 27.5007 13.0247 12.9441 -0.889216 0.0127167 -0.00936762 0.0189983 0.232935 -0.347713 1.16386 0.00328839 
0.071 0.807384 -0.00933893 0.0118124 0.589834 3.55795 27.4998 13.0247 12.9428 -0.889189 0.012729 -0.00938182 0.0190282 0.233288 -0.339752 1.16395 0.00343364 
0.072 0.807315 -0.00934696 0.0118184 0.589928 3.57089 27.4989 13.0247 12.9416 -0.889155 0.0127413 -0.00939599 0.0190582 0.233641 -0.331789 1.16403 0.00357913 
0.073 0.807246 -0.009355 0.0118244 0.590022 3.58383 27.498 13.0247 12.9404 -0.889114 0.0127535 -0.00941012 0.019088 0.233992 -0.323824 1.16411 0.00372484 
0.074 0.807177 -0.00936305 0.0118305 0.590117 3.59677 27.4972 13.0247 12.9392 -0.889065 0.0127656 -0.00942422 0.0191178 0.234343 -0.315857 1.16419 0.00387078 
0.075 0.807108 -0.00937111 0.0118365 0.590211 3.60971 27.4963 13.0247 12.938 -0.889009 0.0127776 -0.00943828 0.0191476 0.234693 -0.307889 1.16427 0.00401696 
0.076 0.807038 -0.00937919 0.0118425 0.590306 3.62265 27.4954 13.0247 12.9368 -0.888946 0.0127895 -0.00945231 0.0191773 0.235042 -0.299918 1.16435 0.00416336 
0.077 0.806969 -0.00938728 0.0118486 0.590401 3.63559 27.4945 13.0248 12.9356 -0.888875 0.0128013 -0.00946631 0.019207 0.23539 -0.291946 1.16442 0.00430999 
0.078 0.806899 -0.00939538 0.0118547 0.590496 3.64852 27.4936 13.0248 12.9344 -0.888797 0.0128131 -0.00948028 0.0192366 0.235738 -0.283973 1.1645 0.00445685 
0.079 0.806829 -0.00940349 0.0118607 0.590591 3.66145 27.4927 13.0248 12.9332 -0.888711 0.0128247 -0.00949421 0.0192661 0.236084 -0.275997 1.16457 0.00460394 
0.08 0.806759 -0.00941162 0.0118668 0.590686 3.67439 27.4918 13.0248 12.932 -0.888618 0.0128362 -0.0095081 0.0192956 0.23643 -0.26802 1.16464 0.00475125 
0.081 0.806689 -0.00941976 0.0118729 0.590782 3.68732 27.4909 13.0248 12.9308 -0.888518 0.0128477 -0.00952197 0.0193251 0.236775 -0.260042 1.1647 0.00489879 
0.082 0.806619 -0.00942791 0.011879 0.590877 3.70025 27.4901 13.0248 12.9296 -0.888411 0.0128591 -0.0095358 0.0193545 0.237119 -0.252062 1.16477 0.00504655 
0.083 0.806549 -0.00943607 0.0118851 0.590973 3.71318 27.4892 13.0248 12.9285 -0.888296 0.0128703 -0.00954959 0.0193838 0.237463 -0.244081 1.16483 0.00519454 
0.084 0.806478 -0.00944424 0.0118912 0.591069 3.72611 27.4883 13.0249 12.9273 -0.888174 0.0128815 -0.00956336 0.0194131 0.237805 -0.236098 1.16489 0.00534275 
0.085 0.806408 -0.00945243 0.0118974 0.591165 3.73903 27.4874 13.0249 12.9261 -0.888044 0.0128926 -0.00957708 0.0194424 0.238147 -0.228114 1.16495 0.00549118 
0.086 0.806337 -0.00946062 0.0119035 0.591261 3.75196 27.4865 13.0249 12.9249 -0.887907 0.0129036 -0.00959078 0.0194716 0.238487 -0.220129 1.16501 0.00563984 
0.087 0.806266 -0.00946883 0.0119097 0.591357 3.76488 27.4856 13.0249 12.9237 -0.887763 0.0129145 -0.00960444 0.0195007 0.238827 -0.212143 1.16506 0.00578872 
0.088 0.806196 -0.00947706 0.0119158 0.591453 3.77781 27.4847 13.0249 12.9226 -0.887611 0.0129253 -0.00961807 0.0195298 0.239166 -0.204156 1.16511 0.00593781 
0.089 0.806125 -0.00948529 0.011922 0.59155 3.79073 27.4838 13.0249 12.9214 -0.887452 0.012936 -0.00963167 0.0195589 0.239505 -0.196167 1.16516 0.00608713 
0.09 0.806054 -0.00949353 0.0119282 0.591646 3.80365 27.4829 13.0249 12.9202 -0.887286 0.0129467 -0.00964523 0.0195879 0.239842 -0.188177 1.16521 0.00623667 
0.091 0.805982 -0.00950179 0.0119343 0.591743 3.81657 27.4821 13.0249 12.9191 -0.887112 0.0129572 -0.00965876 0.0196168 0.240179 -0.180187 1.16525 0.00638642 
0.092 0.805911 -0.00951006 0.0119405 0.59184 3.82949 27.4812 13.025 12.9179 -0.886931 0.0129676 -0.00967225 0.0196457 0.240514 -0.172195 1.1653 0.0065364 
0.093 0.80584 -0.00951834 0.0119467 0.591937 3.8424 27.4803 13.025 12.9167 -0.886743 0.012978 -0.00968571 0.0196746 0.240849 -0.164203 1.16534 0.00668659 
0.094 0.805768 -0.00952663 0.011953 0.592034 3.85532 27.4794 13.025 12.9156 -0.886547 0.0129882 -0.00969914 0.0197033 0.241183 -0.15621 1.16538 0.006837 
0.095 0.805697 -0.00953494 0.0119592 0.592131 3.86824 27.4785 13.025 12.9144 -0.886344 0.0129984 -0.00971253 0.0197321 0.241517 -0.148216 1.16541 0.00698762 
0.096 0.805625 -0.00954326 0.0119654 0.592228 3.88115 27.4776 13.025 12.9133 -0.886134 0.0130085 -0.00972589 0.0197608 0.241849 -0.140221 1.16545 0.00713846 
0.097 0.805553 -0.00955158 0.0119716 0.592326 3.89406 27.4767 13.025 12.9121 -0.885916 0.0130184 -0.00973922 0.0197894 0.242181 -0.132225 1.16548 0.00728951 
0.098 0.805481 -0.00955992 0.0119779 0.592423 3.90697 27.4759 13.025 12.911 -0.885691 0.0130283 -0.00975251 0.019818 0.242511 -0.124229 1.16551 0.00744077 
0.099 0.805409 -0.00956828 0.0119841 0.592521 3.91988 27.475 13.025 12.9098 -0.885458 0.0130381 -0.00976577 0.0198465 0.242841 -0.116232 1.16554 0.00759225 
0.1 0.805337 -0.00957664 0.0119904 0.592619 3.93279 27.4741 13.0251 12.9087 -0.885218 0.0130478 -0.009779 0.019875 0.24317 -0.108235 1.16556 0.00774394 
0.101 0.805265 -0.00958501 0.0119967 0.592717 3.9457 27.4732 13.0251 12.9075 -0.884971 0.0130574 -0.00979219 0.0199035 0.243499 -0.100237 1.16559 0.00789584 
0.102 0.805192 -0.0095934 0.012003 0.592815 3.95861 27.4723 13.0251 12.9064 -0.884716 0.0130669 -0.00980535 0.0199319 0.243826 -0.0922393 1.16561 0.00804795 
0.103 0.80512 -0.0096018 0.0120093 0.592913 3.97151 27.4714 13.0251 12.9052 -0.884454 0.0130763 -0.00981848 0.0199602 0.244153 -0.0842407 1.16563 0.00820027 
0.104 0.805047 -0.00961021 0.0120156 0.593011 3.98442 27.4705 13.0251 12.9041 -0.884185 0.0130856 -0.00983157 0.0199885 0.244478 -0.0762418 1.16564 0.0083528 
0.105 0.804974 -0.00961863 0.0120219 0.59311 3.99732 27.4697 13.0251 12.903 -0.883908 0.0130948 -0.00984463 0.0200167 0.244803 -0.0682427 1.16565 0.00850553 
0.106 0.804902 -0.00962706 0.0120282 0.593208 4.01022 27.4688 13.0251 12.9018 -0.883624 0.013104 -0.00985766 0.0200449 0.245127 -0.0602433 1.16566 0.00865848 
0.107 0.804829 -0.0096355 0.0120345 0.593307 4.02313 27.4679 13.0252 12.9007 -0.883333 0.013113 -0.00987065 0.020073 0.24545 -0.0522437 1.16567 0.00881163 
0.108 0.804756 -0.00964396 0.0120409 0.593406 4.03603 27.467 13.0252 12.8996 -0.883034 0.0131219 -0.00988361 0.0201011 0.245773 -0.044244 1.16568 0.00896498 
0.109 0.804682 -0.00965243 0.0120472 0.593505 4.04892 27.4661 13.0252 12.8985 -0.882727 0.0131308 -0.00989654 0.0201291 0.246094 -0.0362443 1.16568 0.00911854 
0.11 0.804609 -0.00966091 0.0120536 0.593604 4.06182 27.4652 13.0252 12.8973 -0.882414 0.0131395 -0.00990943 0.0201571 0.246415 -0.0282445 1.16568 0.0092723 
0.111 0.804536 -0.0096694 0.0120599 0.593703 4.07472 27.4644 13.0252 12.8962 -0.882093 0.0131482 -0.00992229 0.020185 0.246735 -0.0202447 1.16568 0.00942627 
0.112 0.804462 -0.0096779 0.0120663 0.593802 4.08762 27.4635 13.0252 12.8951 -0.881765 0.0131567 -0.00993512 0.0202129 0.247054 -0.012245 1.16568 0.00958043 
0.113 0.804389 -0.00968641 0.0120727 0.593902 4.10051 27.4626 13.0252 12.894 -0.881429 0.0131652 -0.00994791 0.0202407 0.247372 -0.00424548 1.16567 0.0097348 
0.114 0.804315 -0.00969493 0.0120791 0.594001 4.1134 27.4617 13.0252 12.8929 -0.881086 0.0131735 -0.00996067 0.0202685 0.247689 0.00375389 1.16566 0.00988937 
0.115 0.804241 -0.00970347 0.0120855 0.594101 4.1263 27.4608 13.0253 12.8917 -0.880735 0.0131818 -0.00997339 0.0202962 0.248006 0.011753 1.16565 0.0100441 
0.116 0.804167 -0.00971202 0.0120919 0.5942 4.13919 27.46 13.0253 12.8906 -0.880378 0.01319 -0.00998609 0.0203239 0.248322 0.0197519 1.16564 0.0101991 
0.117 0.804093 -0.00972057 0.0120983 0.5943 4.15208 27.4591 13.0253 12.8895 -0.880012 0.0131981 -0.00999874 0.0203515 0.248636 0.0277504 1.16562 0.0103543 
0.118 0.804019 -0.00972914 0.0121047 0.5944 4.16497 27.4582 13.0253 12.8884 -0.87964 0.013206 -0.0100114 0.0203791 0.248951 0.0357486 1.1656 0.0105096 
0.119 0.803945 -0.00973772 0.0121111 0.5945 4.17785 27.4573 13.0253 12.8873 -0.87926 0.0132139 -0.010024 0.0204066 0.249264 0.0437463 1.16558 0.0106652 
0.12 0.803871 -0.00974631 0.0121176 0.594601 4.19074 27.4564 13.0253 12.8862 -0.878873 0.0132217 -0.0100365 0.0204341 0.249576 0.0517435 1.16556 0.0108209 
0.121 0.803796 -0.00975492 0.012124 0.594701 4.20363 27.4556 13.0253 12.8851 -0.878478 0.0132294 -0.010049 0.0204615 0.249888 0.0597402 1.16553 0.0109769 
0.122 0.803722 -0.00976353 0.0121305 0.594801 4.21651 27.4547 13.0253 12.884 -0.878076 0.013237 -0.0100615 0.0204889 0.250198 0.0677363 1.1655 0.011133 
0.123 0.803647 -0.00977215 0.0121369 0.594902 4.22939 27.4538 13.0254 12.8829 -0.877667 0.0132445 -0.010074 0.0205162 0.250508 0.0757317 1.16547 0.0112894 
0.124 0.803572 -0.00978079 0.0121434 0.595003 4.24228 27.4529 13.0254 12.8818 -0.87725 0.0132519 -0.0100864 0.0205435 0.250817 0.0837265 1.16543 0.0114459 
0.125 0.803498 -0.00978944 0.0121499 0.595103 4.25516 27.452 13.0254 12.8808 -0.876826 0.0132592 -0.0100988 0.0205707 0.251125 0.0917205 1.16539 0.0116026 
0.126 0.803423 -0.0097981 0.0121564 0.595204 4.26804 27.4512 13.0254 12.8797 -0.876394 0.0132664 -0.0101112 0.0205979 0.251433 0.0997137 1.16535 0.0117595 
0.127 0.803348 -0.00980676 0.0121629 0.595305 4.28092 27.4503 13.0254 12.8786 -0.875956 0.0132735 -0.0101235 0.020625 0.251739 0.107706 1.16531 0.0119166 
0.128 0.803272 -0.00981544 0.0121694 0.595406 4.2938 27.4494 13.0254 12.8775 -0.875509 0.0132805 -0.0101358 0.020652 0.252045 0.115698 1.16526 0.0120739 
0.129 0.803197 -0.00982414 0.0121759 0.595508 4.30667 27.4485 13.0254 12.8764 -0.875056 0.0132875 -0.0101481 0.020679 0.252349 0.123688 1.16521 0.0122313 
0.13 0.803122 -0.00983284 0.0121825 0.595609 4.31955 27.4477 13.0255 12.8753 -0.874595 0.0132943 -0.0101603 0.020706 0.252653 0.131678 1.16516 0.012389 
0.131 0.803046 -0.00984155 0.012189 0.595711 4.33242 27.4468 13.0255 12.8743 -0.874127 0.013301 -0.0101725 0.0207329 0.252957 0.139666 1.16511 0.0125468 
0.132 0.802971 -0.00985027 0.0121955 0.595812 4.3453 27.4459 13.0255 12.8732 -0.873651 0.0133076 -0.0101846 0.0207598 0.253259 0.147653 1.16505 0.0127049 
0.133 0.802895 -0.00985901 0.0122021 0.595914 4.35817 27.445 13.0255 12.8721 -0.873168 0.0133142 -0.0101968 0.0207866 0.25356 0.15564 1.16499 0.0128631 
0.134 0.802819 -0.00986775 0.0122086 0.596016 4.37104 27.4442 13.0255 12.8711 -0.872678 0.0133206 -0.0102089 0.0208133 0.253861 0.163625 1.16493 0.0130215 
0.135 0.802743 -0.00987651 0.0122152 0.596118 4.38391 27.4433 13.0255 12.87 -0.87218 0.0133269 -0.0102209 0.0208401 0.254161 0.171608 1.16486 0.01318 
0.136 0.802667 -0.00988528 0.0122218 0.59622 4.39678 27.4424 13.0255 12.8689 -0.871675 0.0133331 -0.0102329 0.0208667 0.25446 0.179591 1.1648 0.0133388 
0.137 0.802591 -0.00989406 0.0122284 0.596322 4.40965 27.4416 13.0255 12.8679 -0.871163 0.0133393 -0.0102449 0.0208933 0.254758 0.187572 1.16473 0.0134977 
0.138 0.802515 -0.00990284 0.012235 0.596424 4.42252 27.4407 13.0256 12.8668 -0.870643 0.0133453 -0.0102569 0.0209199 0.255055 0.195552 1.16465 0.0136568 
0.139 0.802439 -0.00991164 0.0122416 0.596526 4.43538 27.4398 13.0256 12.8657 -0.870116 0.0133512 -0.0102688 0.0209464 0.255352 0.20353 1.16457 0.0138161 
0.14 0.802363 -0.00992045 0.0122482 0.596629 4.44825 27.4389 13.0256 12.8647 -0.869582 0.0133571 -0.0102807 0.0209728 0.255647 0.211506 1.16449 0.0139756 
0.141 0.802286 -0.00992927 0.0122548 0.596731 4.46111 27.4381 13.0256 12.8636 -0.86904 0.0133628 -0.0102926 0.0209992 0.255942 0.219482 1.16441 0.0141352 
0.142 0.802209 -0.0099381 0.0122614 0.596834 4.47398 27.4372 13.0256 12.8626 -0.868491 0.0133685 -0.0103044 0.0210256 0.256236 0.227455 1.16433 0.014295 
0.143 0.802133 -0.00994695 0.0122681 0.596937 4.48684 27.4363 13.0256 12.8615 -0.867934 0.013374 -0.0103162 0.0210519 0.256529 0.235427 1.16424 0.014455 
0.144 0.802056 -0.0099558 0.0122747 0.59704 4.4997 27.4355 13.0256 12.8605 -0.86737 0.0133795 -0.010328 0.0210781 0.256821 0.243397 1.16415 0.0146152 
0.145 0.801979 -0.00996466 0.0122814 0.597143 4.51256 27.4346 13.0257 12.8594 -0.866799 0.0133848 -0.0103397 0.0211043 0.257113 0.251365 1.16405 0.0147755 
0.146 0.801902 -0.00997354 0.012288 0.597246 4.52542 27.4337 13.0257 12.8584 -0.866221 0.01339 -0.0103514 0.0211305 0.257403 0.259332 1.16396 0.014936 
